ARTT418B 7 0301 18 04789 0 |D. Gavin|
ARTT418H 0 0201 2 04799 2 |P. Craig|
ARTT418H 0 0301 2 04800 2 |D. Gavin|
ARTT428 0 0101 18 04811 0 |P. Kehoe|
ARTT428 6 0201 18 04812 0 |P. Craig|
ARTT428 1 0301 8 04813 0 |R. Klank|
ARTT428H 0 0101 2 04823 2 |P. Kehoe|
ARTT428H 0 0201 2 04824 2 |P. Craig|
ARTT428H 0 0301 2 04825 2 |R. Klank|
ARTT438A 2 0101 4 04835 0 |S. Jones|
ARTT438B 2 0101 6 04845 0 |J. Burrowes|
ARTT438D 1 0101 4 04855 0 |F. Sham|
ARTT438H 0 0101 2 04865 2 |F. Sham|
ARTT438H 0 0301 2 04866 2 |J. Ruppert|
ARTT448A 0 0101 4 04876 0 |M. Humphrey|
ARTT448B 0 0101 6 04886 4 |M. Humphrey|
ARTT448D 0 0101 14 04896 0 |J. Strom|
ARTT448E 7 0101 8 04906 0 |J. Strom|
ARTT448H 0 0101 2 04916 0 |J. Strom|
ARTT448H 0 0301 2 04918 0 |J. Strom|
ARTT448H 0 0401 2 04919 2 |M. Humphrey|
ARTT449A 1 0101 5 04929 0 |S. Devore|
ARTT458 4 0101 20 04939 0 |A. Buck-Coleman|
ARTT489A 6 0101 15 04949 0 |R. Weil|
ARTT489F 0 0101 18 04959 8 |S. Devore|
ARTT489I 0 0101 14 04969 0 |B. Morse|
ARTT489W 6 0101 15 04980 0 |H. Elahi|
ARTT768 0 0101 18 05248 7 |H. Elahi|
ASTR100 0 0101 40 05353 0 |L. Mundy|
ASTR100 1 0102 40 05354 0 |L. Mundy|
ASTR100 1 0103 40 05355 0 |L. Mundy|
ASTR100 0 0104 40 05356 0 |L. Mundy|
ASTR100 0 0105 40 05357 0 |L. Mundy|
ASTR100 0 0106 40 05358 0 |L. Mundy|
ASTR100 0 0201 40 05359 1 |M. Hayes-Gehrke|
ASTR100 0 0202 40 05360 13 |M. Hayes-Gehrke|
ASTR100 0 0203 40 05361 28 |M. Hayes-Gehrke|
ASTR100 0 0204 40 05362 24 |M. Hayes-Gehrke|
ASTR101 0 0101 20 05372 0 |G. Deming|
ASTR101 0 0102 20 05373 0 |G. Deming|
ASTR101 1 0103 20 05374 0 |G. Deming|
ASTR101 1 0104 20 05375 0 |G. Deming|
ASTR101 1 0105 20 05376 0 |G. Deming|
ASTR101 1 0106 20 05377 0 |G. Deming|
ASTR101 1 0107 20 05378 0 |G. Deming|
ASTR101 0 0108 20 05379 0 |G. Deming|
ASTR121 0 0101 15 05389 0 |D. Richardson|
ASTR121 0 0201 15 05390 0 |D. Richardson|
ASTR220 2 0101 30 05400 0 |M. Hayes-Gehrke|
ASTR220 4 0102 30 05401 0 |M. Hayes-Gehrke|
ASTR288M 0 0101 10 05429 4 |S. Vogel|
ASTR300 0 0101 50 05439 1 |J. Harrington|
ASTR320 2 0101 20 05449 0 |E. Ostriker|
ASTR330 3 0101 50 05459 0 |A. Peel|
ASTR340 0 0101 50 05469 0 |M. Ricotti|
ASTR380 0 0101 50 05479 11 |A. Harris|
ASTR421 0 0101 20 05506 5 |S. McGaugh|
ASTR450 0 0101 20 05516 10 |D. Hamilton|
ASTR670 0 0101 20 05544 7 |A. Bolatto|
ASTR680 0 0101 20 05554 6 |R. Mushotzky|
ASTR695 0 0101 20 05564 13 |D. Hamilton|
BCHM462 0 0101 140 05703 38 |G. Lorimer|
BCHM463 0 0101 125 05713 5 |J. Watson|
BCHM464 0 0101 18 05724 2 |J. Watson|
BCHM464 0 0102 18 05725 2 |J. Watson|
BCHM465 0 0101 80 05735 17 |J. Kahn|
BCHM485 0 0101 45 05745 5 |D. Fushman|
BCHM669 0 0101 20 05755 11 |V. Tugarinov|
BCHM675 0 0101 25 05765 15 |D. Beckett|
