ARCH242 0 0 0102 13 02992 |L. Escobal|
ARCH242 0 1 0103 13 02993 |L. Escobal|
ARCH242 0 0 0104 13 02994 |L. Escobal|
ARCH242 0 0 0105 12 02995 |L. Escobal|
ARCH401 0 0 0101 54 03005 |K. Melluish|
ARCH403 0 19 0101 56 03019 |P. Mortensen|
ARCH405 0 4 0101 12 03031 |G. Rockcastle|
ARCH407 0 4 0101 12 03041 |S. Hurtt|
ARCH411 0 4 0101 66 03051 |R. Cousart|
ARCH413 0 24 0101 66 03062 |C. Bovill|
ARCH420 2 0 0101 42 03082 |I. Gournay|
ARCH427 0 6 0101 12 03092 |I. Gournay|
ARCH445 0 8 0101 25 03112 |E. Northen|
ARCH460 0 14 0101 35 03122 |H. Koliji|
ARCH461 0 7 0101 25 03123 |C. Bovill|
ARCH470 0 10 0101 17 03132 |R. Schneck|
ARCH481 0 1 0101 10 03172 |R. Vann|
ARCH601 0 8 0101 27 03182 |L. Quiros Pacheco|
ARCH635 0 2 0101 19 03204 STAFF
ARCH655 0 0 0101 12 03214 |M. Bell|
ARCH797 0 3 0101 15 03256 |R. Bennett|
ARCH798 0 2 0101 15 03266 |B. Kelly|
ARCH798 0 6 0201 10 03267 |B. Kelly|
AREC200 0 0 0101 35 03345 |D. Lipton and D. Parker|
AREC200 0 7 0102 35 03346 |D. Lipton and D. Parker|
AREC200 0 13 0103 35 03347 |D. Lipton and D. Parker|
AREC200 0 24 0104 35 03348 |D. Lipton and D. Parker|
AREC240 0 0 0101 40 03358 |R. Williams III|
AREC240 0 5 0102 40 03359 |R. Williams III|
AREC332 0 5 0101 80 03369 |D. Parker|
AREC365 0 96 0101 286 03379 |H. Leathers|
AREC382 12 0 0101 30 03389 |A. Alberini|
AREC388 0 5 3103 5 03416 |K. Leonard|
AREC388 0 4 3104 5 03417 |R. Lopez|
AREC404 0 2 0101 35 03442 |R. Lopez|
AREC405 1 0 0101 45 03452 |R. Chambers|
AREC427 10 0 0101 30 03462 |H. Leathers|
AREC435 2 0 0101 50 03472 |J. Hanson|
AREC445 0 1 0101 28 03482 |M. Nerlove|
AREC610 0 18 0101 25 03492 |R. Chambers|
AREC624 0 15 0101 30 03502 |R. Just and A. Alberini|
AREC645 0 16 0101 20 03512 |R. Lopez|
AREC845 0 16 0101 20 03560 |R. Lopez|
ARHU286 0 20 0101 20 03678 |P. Nadler|
ARHU318C 0 11 0101 15 03708 |J. Freeman|
ARHU338 0 1 0101 2 03728 |J. Schmidt|
ARHU338 0 0 0201 1 03729 |V. Salgado|
ARHU386 0 17 0201 20 03739 |P. Nadler|
ARHU468 0 14 0101 25 03749 |J. Greene|
ARHU486 0 16 0101 20 03759 |P. Nadler|
ARMY102 0 17 0101 40 03819 |S. Cook|
ARMY104 0 9 0101 50 03829 |S. Cook|
ARMY202 0 17 0102 30 03839 |T. McCall|
ARMY302 0 19 0101 30 03849 |T. McCall|
ARMY402 0 17 0101 30 03859 |S. Cook|
ARSC059 0 178 0101 250 03909 |D. Shaltanis|
ARSC101 0 24 0101 40 03920 |J. Titkemeier|
ARSC101 0 32 0102 50 03921 |J. Titkemeier|
ARSC101 0 9 0103 18 03922 |J. Titkemeier|
ARSC201 0 36 0101 49 03932 |D. Shaltanis|
ARSC201 0 14 0102 25 03933 |D. Shaltanis|
ARSC201 0 13 0103 25 03934 |R. Pecoraro|
ARSC301 0 20 0101 25 03944 |V. Gonzalez|
ARSC301 0 11 0102 20 03945 |V. Gonzalez|
ARSC399 0 10 0101 10 03955 |R. Pecoraro|
ARSC401 0 9 0101 18 03965 |T. Sadiq|
ARSC401 0 11 0102 15 03966 |T. Sadiq|
ARTH200 1 0 0101 28 04016 |L. Martinez|
ARTH200 0 0 0102 32 04017 |L. Martinez|
ARTH200 2 0 0103 32 04018 |L. Martinez|
ARTH200 0 1 0104 28 04019 |L. Martinez|
ARTH200 0 9 0105 28 04020 |L. Martinez|
ARTH200 0 11 0106 32 04021 |L. Martinez|
ARTH320 17 0 0101 30 04091 |L. Martinez|
ARTH324 21 0 0101 30 04101 |M. Gill|
ARTH335 10 0 0101 30 04111 |A. Georgievska-Shine|
ARTH350 21 0 0101 30 04121 |S. Mansbach|
ARTH357 20 0 0101 30 04131 |W. Grossman|
ARTH370 10 0 0101 30 04141 |B. Bland|
ARTH382 1 0 0101 30 04151 |M. Bari|
